TS, DPE, VALUE
13-10-2017 01:38:59.22300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,1.5573458209937829E-002
13-10-2017 01:38:59.22300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,7.7867291049689147E-003
13-10-2017 01:38:59.22300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,-7.7867291049689147E-003
13-10-2017 01:38:59.22300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:39:00.22700000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:39:00.22700000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.6E+001
13-10-2017 01:39:00.22700000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:39:10.25600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:39:10.25600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:39:10.25600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.7E+001
13-10-2017 01:39:14.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,1.5573458209937829E-002
13-10-2017 01:39:14.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,-1.5573458209937829E-002
13-10-2017 01:39:14.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,3.1146916419875659E-002
13-10-2017 01:39:14.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:39:14.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:39:15.78200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:39:15.78200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:39:15.78200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.8E+001
13-10-2017 01:39:25.81100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.9E+001
13-10-2017 01:39:25.81100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:39:25.81100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:39:30.33100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:39:30.33100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:39:30.33100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,4.6720374629813488E-002
